,pc1,pc2,pc3,GMM_cluster,K_means_cluster,target
130,0.0051435440817208695,0.0028205098898203317,-0.005504433111793982,0,0,0
131,0.00584433605167733,0.002902461712661114,0.01508894409078747,0,0,0
132,-0.01461410788391824,0.0019713759444142374,-0.0025960687342756468,0,1,0
133,0.005689164618547394,0.0028828913949496427,0.009960480202200276,0,0,0
134,-6.23725822487408e-05,0.0026062107581187343,-0.0009696006224413191,0,3,0
135,0.002283428694410162,-0.03202982673207706,0.011143752502044376,1,3,1
136,0.005324016580624594,0.002841311550654453,-0.00032207250606771076,0,0,0
137,0.005271786884289616,0.0028390117506493285,-0.0003363662324414458,0,0,0
138,0.0009661649848573936,0.002702301725306463,0.019596667057594365,0,3,0
139,-0.018839193929744785,0.001812598005395971,0.0071318398226842186,0,6,1
140,0.029659078460985314,0.003915813197850313,0.00753226704758104,0,2,0
141,0.005397065218997748,0.0028444888662752933,-0.000317674739967596,0,0,0
142,0.005701583403849155,0.0028834178601844203,0.009955720063195422,0,0,0
143,-8.130982742529658e-05,0.002605512472357594,-0.0009204787313265633,0,3,1
144,0.004972351540356264,0.0028259247098938872,-0.0003793887526565475,0,0,0
145,0.005385385841020243,0.0028438831940634734,-0.00035753862546775167,0,0,0
146,0.005440457238712397,0.0028463922118512636,-0.0003086339784067842,0,0,0
147,-0.017097855241707777,0.008880463804315177,-0.025702395854851533,1,1,1
148,-0.0004749233461690004,-0.06892806824342491,0.0224809614883367,1,3,1
149,-6.192553134859598e-05,0.0025755271405998067,-0.013228784544880063,0,3,0
150,-0.019710903388621012,0.0017490583412738871,-0.0031514117442787196,0,6,0
151,0.004807474017641143,0.0028187200680132316,-0.00040239728766168134,0,0,0
152,0.019644856685148145,0.0034660577225642205,0.0012722379304440212,0,4,0
153,0.005616431745705879,0.002853990656282438,-0.0003205117073043959,0,0,0
154,-0.00019412066572464272,0.0025748412672437957,-0.011214651636221077,0,3,0
155,0.006195513350493858,0.0029305696751864715,0.020234049558771932,0,0,0
156,0.0002076512651755956,0.0026181124129391778,-0.000890655279578353,0,3,1
157,-0.01535923597984452,0.0019003468305551592,-0.018060556698590264,0,1,0
158,-0.008416735217239318,-0.03253499809607752,-0.005370708596704202,1,5,1
