,pc1,pc2,pc3,GMM_cluster,K_means_cluster,target
62,2.293110548964854,0.11797021807695718,-2.816187955285358,1,0,0.0
63,2.293110548964854,0.11797021807695718,-2.816187955285358,1,0,0.0
64,-0.3155563627358111,0.25914248339505674,2.9656558922703717,1,1,0.0
65,3.5124301395153217,1.7466796965747917,-3.420803681637734,1,0,1.0
66,-4.191276009489641,2.281945405497654,-2.5629253767825118,0,1,0.0
67,-6.518352670345996,0.8727721087805944,-1.7975761409274869,0,1,0.0
68,-6.7281257997439,-1.0640109688799069,-0.7367928264794039,0,1,1.0
69,-6.514341445540951,-0.9106034381199932,0.3197729549828634,0,1,0.0
70,-0.2629267270688835,1.1687768082196637,2.7192650460426244,1,1,0.0
71,-0.8987592354384559,0.0016537547066164703,0.9479535689352957,1,1,0.0
72,-2.11662952331547,-3.200913104050207,-0.6913682711391139,1,1,0.0
73,-3.7535417183534148,-0.9449831368559267,3.86728889982516,0,1,0.0
74,3.8597559907791363,0.046926807453765686,1.6135815054643274,1,0,0.0
75,-6.201746902150289,-1.541916042099619,-2.9267710686690247,0,1,0.0
76,-3.088746064802492,-3.534055584526796,-1.6086155091618053,0,1,0.0
77,-6.3612387519657245,-2.579893155405954,-2.1275702924977242,0,1,0.0
78,1.314189920467995,-1.3391433433093767,-3.1213062243424896,1,0,0.0
79,2.075498960653289,-2.9522223099168508,-1.1596095457197753,1,0,0.0
80,10.079939910373364,1.4136419458316123,-2.140106290766639,1,0,1.0
81,9.247876400395882,0.3453798277421975,0.2886786345781853,1,0,1.0
82,2.527735198711013,-1.037112650970755,1.27869436326645,1,0,0.0
83,3.6972743477781242,0.7877849334532643,0.2746327306195308,1,0,0.0
84,-3.7385502878899706,-0.4831965040307822,4.762664421402441,0,1,0.0
85,-2.5085329852854215,-1.4977316165325212,-1.729062736842825,1,1,0.0
86,-4.359229534526309,0.6047908199018459,1.7730286526591819,0,1,1.0
87,-1.5129481798939124,-2.4702995537697987,2.224216674671356,1,1,1.0
88,-5.889834964795994,0.9181942351812729,0.5962645326982734,0,1,0.0
89,9.723565744138279,3.3614535918029116,0.08560481187129991,1,0,0.0
90,9.384162963517294,-1.78481635961841,-3.042497725127787,1,0,1.0
