,pc1,GMM_cluster,K_means_cluster,target
372,0.725040296718034,0,1,0
373,-1.179778004163675,1,0,0
374,-0.9174047330386733,1,0,0
375,-0.9736281893469518,1,0,0
376,-1.1979296348398762,1,0,0
377,-0.1313905436028712,1,0,0
378,-1.1520554081580856,1,0,0
379,0.5313856906619344,0,1,0
380,-0.8641494104889323,1,0,0
381,-2.047298110136948,1,0,0
382,1.127384414849043,0,1,0
383,-1.903608420152087,1,0,0
384,1.9229786017515056,0,1,1
385,-0.016214862575853577,1,0,0
386,0.27323468109973015,0,1,0
387,-1.0072413348073572,1,0,0
388,0.9485590044080396,0,1,0
389,0.05266519665123943,1,0,0
390,0.04213930931489573,1,0,0
391,0.1704204722786574,1,0,0
392,-0.38376796058031315,1,0,0
393,-0.7167852300723424,1,0,0
394,-0.17722495244356307,1,0,0
395,-0.9275666516100167,1,0,0
396,0.06665120070219868,1,0,0
397,-1.063783010323473,1,0,0
398,0.17170165738740858,1,0,1
399,-1.5550823415146062,1,0,0
400,0.744847447586898,0,1,0
401,0.14775861006717045,1,0,0
402,0.7347155900621597,0,1,1
403,0.5129636930691803,0,1,0
404,-1.8648085116314757,1,0,0
405,-0.12196204504770695,1,0,0
406,1.1262531338141797,0,1,1
407,0.91361426138792,0,1,0
408,-0.13373706597020016,1,0,0
409,1.6285975790357377,0,1,1
410,1.0404912728062954,0,1,0
411,-0.6256975610731804,1,0,0
412,-0.8240928354071775,1,0,0
413,0.4694893939494885,0,1,1
414,-0.38867617045021985,1,0,0
415,-1.6592969876011257,1,0,0
416,0.2571939289278601,0,1,0
417,-0.8826187200965158,1,0,0
418,0.8460579192389274,0,1,0
419,0.13284958071845865,1,0,0
420,-0.3189043919671264,1,0,0
421,0.4915607047840664,0,1,0
422,1.6979386362175994,0,1,1
423,-0.6392212495099913,1,0,0
424,-1.3248595405528174,1,0,0
425,-1.1730474613740853,1,0,0
426,-0.20148653303915745,1,0,0
427,1.8925112108360775,0,1,1
428,-0.17846847556346987,1,0,0
429,-1.4655037752095723,1,0,0
430,-1.6941470632002822,1,0,0
431,1.8328328205344617,0,1,1
432,-0.37233352395031294,1,0,0
433,3.960937567965096,0,1,1
434,2.656657534831442,0,1,1
435,1.8716605944603453,0,1,0
436,-0.7867848330403562,1,0,0
437,-0.08013064182388203,1,0,0
438,1.4442746039297294,0,1,0
439,-1.171567676433489,1,0,0
440,-1.356786642751893,1,0,0
441,0.9366543055777753,0,1,1
442,0.9386057059410184,0,1,0
443,-0.8304487794111395,1,0,0
444,-1.2805242793249367,1,0,0
445,-0.29397656074303335,1,0,0
446,1.5624160225976664,0,1,1
447,1.5685105516126723,0,1,1
448,-1.6766517561431524,1,0,0
449,-0.5511271127884435,1,0,0
450,0.2499219362624641,0,1,0
451,-0.7592518083486383,1,0,0
452,1.4684531463609982,0,1,0
453,-1.5057066391066087,1,0,0
454,0.4325145901425064,0,1,0
455,-1.5074780402922094,1,0,0
456,-0.6318874052924895,1,0,0
457,1.059954463985,0,1,0
458,-0.4072726836828591,1,0,0
459,-0.5503511953461023,1,0,0
460,4.640602566527617,0,1,1
461,-1.0987280662662466,1,0,0
462,0.7821075919273721,0,1,1
463,0.3845213429419341,0,1,0
464,-1.4717447112850246,1,0,0
465,1.098016899545577,0,1,0
466,-1.2636857199389948,1,0,0
467,1.3090259224508796,0,1,1
468,0.7975103398370658,0,1,0
469,-0.13926420470537534,1,0,1
470,1.9092714546972192,0,1,1
471,-0.4622400152188622,1,0,0
472,-1.3195798104314818,1,0,0
473,-1.6960359188170042,1,0,0
474,0.282420345494933,0,1,0
475,0.040260768186146816,1,0,1
476,-1.1577587249885697,1,0,0
477,-0.06504270496766369,1,0,0
478,-1.492858056220678,1,0,0
479,1.0756753781670922,0,1,1
480,-0.40839832035668316,1,0,0
481,-1.096280516728199,1,0,0
482,-2.2231514046759964,1,0,0
483,-0.7725172660858904,1,0,0
484,0.8944401349726872,0,1,1
485,0.6293123271674036,0,1,0
486,-0.39543028804045377,1,0,0
487,0.09292585772849193,1,0,0
488,1.557011645667175,0,1,0
489,-1.2404879425305715,1,0,0
490,1.366841343415634,0,1,0
491,0.8440038886398176,0,1,0
492,0.869006695176203,0,1,0
493,0.12223019929973607,1,0,0
494,-2.1076454610157227,1,0,0
495,1.2041861418512403,0,1,1
496,1.4043336399988724,0,1,1
497,-1.502007348485307,1,0,0
498,0.6529898005753635,0,1,0
499,-1.5251453129504011,1,0,0
500,0.3133731802766701,0,1,0
501,-0.05012813032828968,1,0,0
502,-0.18477127649542968,1,0,0
503,-0.8495942989129309,1,0,0
504,-0.20714174510086433,1,0,0
505,3.0729589134912105,0,1,1
506,0.20427309928150214,1,0,0
507,1.0287619733723001,0,1,0
508,-0.07933206007528147,1,0,1
509,0.6271135230199603,0,1,1
510,-0.028406294621411306,1,0,0
511,-0.9334898143678838,1,0,0
512,-1.3950737185279793,1,0,0
513,-0.04123038709863837,1,0,0
514,0.8811265339257197,0,1,0
515,-0.7958549925498325,1,0,0
516,-1.8399962404878425,1,0,0
517,-1.515698054373959,1,0,0
518,-1.3638706047413958,1,0,0
519,0.5054283794622502,0,1,1
520,-0.14534825880604674,1,0,0
521,0.2553149451817953,0,1,1
522,-1.0709375573131112,1,0,0
523,-0.49474026502478347,1,0,0
524,-0.4733320823481662,1,0,0
525,-0.5806346079726861,1,0,0
526,-1.3986139420313963,1,0,0
527,-0.37341552815120044,1,0,0
528,0.8183080349114429,0,1,1
529,-0.5894899360968915,1,0,0
530,0.38250108048040266,0,1,0
531,1.9737011765618584,0,1,1
532,-0.8459051893176209,1,0,0
533,1.385104051363154,0,1,1
534,-0.33161318346225394,1,0,0
535,1.8070399980453837,0,1,1
536,-0.6430216153787109,1,0,0
537,-0.2539931628140424,1,0,0
538,0.562405617388169,0,1,1
539,1.3287372930738908,0,1,1
540,1.0599475165898802,0,1,0
541,-0.7328783146047705,1,0,0
542,-1.7769731249016527,1,0,0
543,0.5911890669273863,0,1,1
544,-1.5788387995140507,1,0,0
545,-0.13920166625452385,1,0,0
546,-1.1128064178422599,1,0,0
547,0.3556452475099876,0,1,0
548,-1.327368775000073,1,0,0
549,-0.4975251267756648,1,0,0
550,-0.5084008988205444,1,0,0
551,1.2569971667852495,0,1,0
552,-1.3604466336889893,1,0,0
553,0.027295984734932357,1,0,0
554,0.12554337490812925,1,0,1
555,-2.002799605590647,1,0,0
556,-1.5216934182150126,1,0,0
557,0.43561586208657954,0,1,0
558,0.31511379749714497,0,1,1
559,0.6680129936678373,0,1,0
560,-0.3191086917948077,1,0,0
561,1.40662006724505,0,1,0
562,3.1341046288204426,0,1,1
563,2.3327402425428083,0,1,1
564,-0.714363920292753,1,0,0
565,1.3281387819721089,0,1,1
566,0.7466264760819022,0,1,0
567,-0.9887194030393335,1,0,0
568,0.03029958401544259,1,0,0
569,2.3701914265608792,0,1,1
570,-0.27028808707888957,1,0,0
571,0.03114586259486627,1,0,0
572,0.3795133046645067,0,1,0
573,-0.846897443875133,1,0,0
574,-1.5179949866678688,1,0,0
575,-1.013994772810486,1,0,0
576,4.232422968914059,0,1,1
577,-1.733719234259488,1,0,0
578,-1.501025457004455,1,0,0
579,-0.8733705478917929,1,0,0
580,-1.2985503369765434,1,0,0
581,1.7667493211168335,0,1,0
582,1.5316307447266668,0,1,1
583,-0.04120414327667176,1,0,1
584,-0.4599565668132957,1,0,0
585,-0.45267871960783906,1,0,0
586,-0.18509309779513614,1,0,0
587,2.1484103574601154,0,1,1
588,-0.3295486271572948,1,0,0
589,-1.140782257365008,1,0,0
590,-0.25495569682241154,1,0,0
591,-0.12502604208374118,1,0,0
592,-0.38254299281458004,1,0,0
593,-1.5484579732777233,1,0,0
